Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDC,Short,"62,750 USDT",0.1,"6,275.00 USDT",22.03 USDT,0.35 %,04/17/2024 12:02 UTC,04/17/2024 12:26 UTC,"0.25 % 62,591 USDT","-0.06 % 62,785 USDT"
BTCUSDC,Short,"62,994.9 USDT",0.1,"6,299.49 USDT",21.62 USDT,0.34 %,04/17/2024 10:30 UTC,04/17/2024 11:54 UTC,"0.32 % 62,791 USDT","-0.19 % 63,117 USDT"
BTCUSDC,Short,"63,500 USDT",0.1,"6,350.00 USDT",54.78 USDT,0.86 %,04/17/2024 09:07 UTC,04/17/2024 10:14 UTC,"0.93 % 62,913 USDT","0.00 % 63,501 USDT"
BTCUSDC,Short,"63,500 USDT",0.1,"6,350.00 USDT",31.47 USDT,0.50 %,04/17/2024 07:10 UTC,04/17/2024 08:46 UTC,"0.21 % 63,370 USDT","-0.12 % 63,576 USDT"
BTCUSDC,Short,"64,000 USDT",0.3,"-19,200.00 USDT",87.27 USDT,0.45 %,04/17/2024 04:29 UTC,04/17/2024 07:06 UTC,"0.55 % 63,648 USDT","-0.59 % 64,378 USDT"
BTCUSDC,Short,"63,821.023 USDT",0.8,"-51,025.00 USDT",389.16 USDT,0.76 %,04/16/2024 04:49 UTC,04/17/2024 04:11 UTC,"3.36 % 61,746 USDT",
BTCUSDC,Short,"62,500 USDT",0.1,"6,250.00 USDT",31.69 USDT,0.51 %,04/16/2024 04:39 UTC,04/16/2024 04:43 UTC,"0.45 % 62,218 USDT",
BTCUSDC,Short,"63,000 USDT",0.1,"6,300.00 USDT",31.16 USDT,0.49 %,04/16/2024 03:47 UTC,04/16/2024 04:11 UTC,"0.38 % 62,759 USDT","-0.01 % 63,005 USDT"
BTCUSDC,Short,"63,500 USDT",0.1,"6,350.00 USDT",21.47 USDT,0.34 %,04/16/2024 03:01 UTC,04/16/2024 03:17 UTC,"0.25 % 63,343 USDT","-0.02 % 63,515 USDT"
BTCUSDC,Short,"63,250 USDT",0.1,"6,325.00 USDT",45.61 USDT,0.72 %,04/16/2024 01:55 UTC,04/16/2024 02:27 UTC,"0.50 % 62,936 USDT",
BTCUSDT,Short,"63,455.011 USDT",1.6,"-101,520.52 USDT",286.22 USDT,0.28 %,04/16/2024 00:51 UTC,04/16/2024 01:52 UTC,"0.35 % 63,235 USDT","-0.46 % 63,746 USDT"
BTCUSDT,Long,"65,793.986 USDT",50,"3,289,699.29 USDT","-29,989.71 USDT",-0.91 %,04/15/2024 00:12 UTC,04/15/2024 01:48 UTC,"0.07 % 65,842 USDT","-1.20 % 65,005 USDT"
BTCUSDT,Short,"64,653.383 USDT",48,"-3,103,362.37 USDT","-39,310.64 USDT",-1.27 %,04/14/2024 06:14 UTC,04/15/2024 00:12 UTC,"3.00 % 62,772 USDT","-1.66 % 65,743 USDT"
BTCUSDT,Long,"70,474.165 USDT",1.6,"112,758.66 USDT","-3,318.28 USDT",-2.94 %,04/09/2024 10:19 UTC,04/10/2024 12:32 UTC,"0.81 % 71,048 USDT","-3.42 % 68,066 USDT"
