Symbol,Direction,Max Size USDT,Volume,Realized PnL,Realized PnL %,Open Time,Close Time,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSD,Long,968660.78 USDT,1937321.56 USDT,16674.23 USDT,1.72 %,03/17/2024 16:37 UTC,03/17/2024 17:55 UTC,2024-03-17 16:37:00,2024-03-17 17:55:00,2024-03-18 01:37:00,2024-03-18 02:55:00,2024-03-18 01:37 KST,2024-03-18 02:55 KST,16674.23,1,16674.23,968660.78,968660.78,16674.23,16674.23
BTCUSD,Long,4866859.88 USDT,9733719.75 USDT,56677.92 USDT,1.16 %,03/18/2024 19:31 UTC,03/21/2024 05:53 UTC,2024-03-18 19:31:00,2024-03-21 05:53:00,2024-03-19 04:31:00,2024-03-21 14:53:00,2024-03-19 04:31 KST,2024-03-21 14:53 KST,56677.92,1,56677.92,4866859.88,4866859.88,73352.15,73352.15
BTCUSD,Long,3073240.28 USDT,6146480.56 USDT,29180.67 USDT,0.95 %,03/23/2024 06:36 UTC,04/03/2024 09:33 UTC,2024-03-23 06:36:00,2024-04-03 09:33:00,2024-03-23 15:36:00,2024-04-03 18:33:00,2024-03-23 15:36 KST,2024-04-03 18:33 KST,29180.67,1,29180.67,3073240.28,3073240.28,102532.81999999999,102532.81999999999
BTCUSD,Long,1001065.19 USDT,2002130.38 USDT,51025.84 USDT,5.10 %,04/14/2024 05:08 UTC,04/15/2024 22:05 UTC,2024-04-14 05:08:00,2024-04-15 22:05:00,2024-04-14 14:08:00,2024-04-16 07:05:00,2024-04-14 14:08 KST,2024-04-16 07:05 KST,51025.84,1,51025.84,1001065.19,1001065.19,153558.65999999997,153558.65999999997
BTCUSD,Long,2772572.32 USDT,5545144.64 USDT,66031.47 USDT,2.38 %,06/24/2024 19:01 UTC,06/25/2024 23:34 UTC,2024-06-24 19:01:00,2024-06-25 23:34:00,2024-06-25 04:01:00,2024-06-26 08:34:00,2024-06-25 04:01 KST,2024-06-26 08:34 KST,66031.47,1,66031.47,2772572.32,2772572.32,219590.12999999998,219590.12999999998
BTCUSD,Long,1938909.50 USDT,3877819.00 USDT,-2365.62 USDT,-0.12 %,06/29/2024 04:18 UTC,06/30/2024 11:50 UTC,2024-06-29 04:18:00,2024-06-30 11:50:00,2024-06-29 13:18:00,2024-06-30 20:50:00,2024-06-29 13:18 KST,2024-06-30 20:50 KST,2365.62,-1,-2365.62,1938909.5,1938909.5,217224.50999999998,217224.50999999998
BTCUSD,Long,3412552.50 USDT,6825105.00 USDT,102162.65 USDT,2.99 %,07/04/2024 10:54 UTC,07/07/2024 02:01 UTC,2024-07-04 10:54:00,2024-07-07 02:01:00,2024-07-04 19:54:00,2024-07-07 11:01:00,2024-07-04 19:54 KST,2024-07-07 11:01 KST,102162.65,1,102162.65,3412552.5,3412552.5,319387.16,319387.16
BTCUSD,Long,2326942.49 USDT,4653884.98 USDT,45672.59 USDT,1.96 %,07/08/2024 00:30 UTC,07/08/2024 17:48 UTC,2024-07-08 00:30:00,2024-07-08 17:48:00,2024-07-08 09:30:00,2024-07-09 02:48:00,2024-07-08 09:30 KST,2024-07-09 02:48 KST,45672.59,1,45672.59,2326942.49,2326942.49,365059.75,365059.75
BTCUSD,Long,535071.74 USDT,1070143.48 USDT,12922.27 USDT,2.42 %,07/09/2024 01:02 UTC,07/09/2024 16:11 UTC,2024-07-09 01:02:00,2024-07-09 16:11:00,2024-07-09 10:02:00,2024-07-10 01:11:00,2024-07-09 10:02 KST,2024-07-10 01:11 KST,12922.27,1,12922.27,535071.74,535071.74,377982.02,377982.02
BTCUSD,Long,546993.52 USDT,1093987.04 USDT,5757.97 USDT,1.05 %,07/12/2024 21:41 UTC,07/12/2024 23:05 UTC,2024-07-12 21:41:00,2024-07-12 23:05:00,2024-07-13 06:41:00,2024-07-13 08:05:00,2024-07-13 06:41 KST,2024-07-13 08:05 KST,5757.97,1,5757.97,546993.52,546993.52,383739.99,383739.99
