,,거래 횟수,총 거래량(USDT),평균 포지션 크기(USDT),최대 포지션 크기(USDT),총 수익(USDT),평균 수익률(%),승률(%),ROI(%)
hummusXBT,low,1554,147328381.48000002,94805.9082882883,1400149.52,1798440.11,1.0786743886743888,43.371943371943374,1.2207017357644292
hummusXBT,normal,1109,234754462.90000004,211681.2109107304,4999982.07,1609672.01,1.050892696122633,43.55275022542832,0.6856832411683194
hummusXBT,unknown,53,8017813.62,151279.50226415094,900276.45,-34003.820000000014,0.6233962264150946,43.39622641509434,-0.42410339790362966
Cyborg0578,low,240,70781959.88,294924.8328333333,5004151.84,810967.57,1.03875,37.083333333333336,1.145726356510715
Cyborg0578,normal,128,125230158.28999999,978360.6116406249,6001488.62,641263.0800000001,0.641796875,43.75,0.5120676111540193
ONLYCANDLE,low,83,45074932.42,543071.474939759,1544049.44,385367.23,1.1079518072289158,49.39759036144578,0.8549479928427145
ONLYCANDLE,normal,149,143858538.78,965493.5488590604,3571444.88,2116544.16,1.4865771812080535,56.375838926174495,1.4712676619333587
