,거래 횟수,총 거래량(USDT),평균 포지션 크기(USDT),최대 포지션 크기(USDT),총 수익(USDT),평균 수익률(%),승률(%),ROI(%)
low,240,70781959.88,294924.8328333333,5004151.84,810967.57,1.03875,37.083333333333336,1.145726356510715
normal,128,125230158.28999999,978360.6116406249,6001488.62,641263.0800000001,0.641796875,43.75,0.5120676111540193
