liquidity_status,position_size_category,거래 횟수,총 수익(USDT),평균 수익률(%),ROI(%)
low,100만 이상,7,66084.25,1.1085714285714285,0.4762569765628475
low,10만~50만,175,739094.92,1.387085714285714,1.9205601635274123
low,1만~5만,7,-1831.69,-0.6128571428571429,-0.6915418462119878
low,50만~100만,28,-1092.9499999999753,-0.003571428571428424,-0.0065947429361810465
low,5만~10만,23,8713.04,0.13869565217391294,0.5497235196137557
normal,100만 이상,34,147417.69,0.18852941176470595,0.16469271651832648
normal,10만~50만,63,281397.79000000004,0.7153968253968256,1.7001150701774654
normal,50만~100만,26,215079.74,1.4219230769230768,1.140556969481827
normal,5만~10만,5,-2632.1399999999994,-1.26,-0.8482997200630905
