liquidity_status,1만~5만,5만~10만,10만~50만,50만~100만,100만 이상
low,2.9166666666666665,9.583333333333334,72.91666666666666,11.666666666666666,2.9166666666666665
normal,0.0,3.90625,49.21875,20.3125,26.5625
