liquidity_status,<-10%,-10%~-5%,-5%~0%,0%~5%,5%~10%,>10%
low,2.083333333333333,7.916666666666666,52.916666666666664,20.0,7.083333333333333,10.0
normal,0.78125,3.90625,51.5625,32.8125,6.25,4.6875
