Total Return (%),Annualized Return (%),Max Drawdown (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Win Rate (%),Profit/Loss Ratio,Max Consecutive Wins,Max Consecutive Losses,Trading Days,Portfolio,Weights
99.58348050000005,181.1621587097668,10.863790562527434,38.96112440887724,4.5984853216645085,16.675777912605476,15.918367346938775,4.431048616068775,4,23,244,hummusXBT,hummusXBT Only
60.0044605929998,231.92231714720498,29.69241761907916,69.14031643503623,3.325444964707942,7.8108263234914554,45.83333333333333,0.8051989787783919,7,20,143,Panic,Panic Only
94.73260312493996,159.5939495624313,19.42889030746721,35.84306545594194,4.396776546809166,8.214259643078725,50.69444444444444,1.2025156147383362,5,6,255,Equal Portfolio (50:50),0.50:0.50
100.25822589378959,170.20175695172836,15.81055082827353,28.630393465323728,5.874936967088813,10.765074462008098,48.61111111111111,1.3605560871956663,5,6,255,Hummus Focused (70:30),0.70:0.30
84.42661793098951,140.1555385507702,22.941567723532156,47.200883217275546,2.926969351713427,6.109239797374728,51.388888888888886,1.0870895416786428,7,6,255,Panic Focused (30:70),0.30:0.70
101.28588651406551,172.18867594978664,13.631763584427988,27.218167139193934,6.252760337587771,12.6314306203552,48.61111111111111,1.3611466383228001,5,6,255,Sharpe Optimal (0.83:0.17),0.83:0.17
99.58348050000214,168.89956656183247,10.863790562529116,29.64268316408362,5.6303798693923675,15.547019761628418,42.36111111111111,1.8066223915817428,5,10,255,Calmar Optimal (1.00:0.00),1.00:0.00
101.28649455503106,172.18985285784166,13.580881646331413,27.219387811862628,6.252523165993847,12.678842017915317,48.61111111111111,1.361229214418959,5,6,255,Return Optimal (0.83:0.17),0.83:0.17
