Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
1000PEPEUSDT,Long,0.019 USDT,"691,000","12,830.49 USDT",-132.15 USDT,-1.03 %,11/20/2024 18:01 UTC,11/20/2024 19:25 UTC,,
1000PEPEUSDT,Long,0.019 USDT,"1,382,100","26,150.99 USDT",708.50 USDT,2.71 %,11/19/2024 22:27 UTC,11/20/2024 16:25 UTC,,
GOATUSDT,Long,1.063 USDT,"505,877","537,595.49 USDT","-26,052.09 USDT",-4.85 %,11/17/2024 22:09 UTC,11/20/2024 16:24 UTC,,
MOODENGUSDT,Long,0.163 USDT,"2,081,508","339,827.00 USDT","-31,070.06 USDT",-9.14 %,10/25/2024 10:37 UTC,11/03/2024 15:29 UTC,,
ARKMUSDT,Long,1.436 USDT,"186,940","268,445.84 USDT","6,861 USDT",2.56 %,10/25/2024 23:21 UTC,11/03/2024 15:29 UTC,,
ARKMUSDT,Long,1.513 USDT,"44,959","68,018.47 USDT","10,803 USDT",15.88 %,10/11/2024 13:43 UTC,10/24/2024 01:16 UTC,,
BTCUSDT,Long,"65,662.9 USDT",9.066,"595,299.85 USDT","8,616 USDT",1.45 %,10/23/2024 09:14 UTC,10/24/2024 00:46 UTC,,
MOODENGUSDT,Long,0.1 USDT,"1,145,796","114,705.64 USDT","-10,819.43 USDT",-9.43 %,10/15/2024 18:55 UTC,10/16/2024 01:12 UTC,,
CATIUSDT,Long,0.454 USDT,"110,800","50,247.80 USDT","-1,405.55 USDT",-2.80 %,10/12/2024 11:02 UTC,10/15/2024 21:53 UTC,,
MOODENGUSDT,Long,0.125 USDT,"1,431,954","178,578.98 USDT","-21,980.62 USDT",-12.31 %,10/11/2024 15:08 UTC,10/15/2024 12:03 UTC,,
MOODENGUSDT,Long,0.13 USDT,"2,694,425","349,439.98 USDT","-7,677.57 USDT",-2.20 %,10/01/2024 20:59 UTC,10/10/2024 13:31 UTC,,
EIGENUSDT,Long,3.862 USDT,"58,192","226,448.35 USDT","4,680 USDT",2.07 %,10/01/2024 07:54 UTC,10/01/2024 16:08 UTC,,
MOODENGUSDT,Long,0.21 USDT,"292,247","61,272.51 USDT","-5,212.07 USDT",-8.51 %,10/01/2024 12:06 UTC,10/01/2024 13:48 UTC,,
FILUSDT,Short,3.607 USDT,"138,784.9","500,597.13 USDT","-47,859.55 USDT",-9.56 %,09/10/2024 23:46 UTC,09/27/2024 13:46 UTC,,
