Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ONDOUSDT,Long,1.136 USDT,"30,422.7","30,919.24 USDT","4,503 USDT",14.57 %,02/03/2025 02:05 UTC,02/19/2025 02:01 UTC,32.00 % 1.50 USDT,-20.54 % 0.90 USDT
CAKEUSDT,Long,3.058 USDT,"10,000","30,579.45 USDT","-4,548.44 USDT",-14.87 %,02/13/2025 03:21 UTC,02/18/2025 07:28 UTC,6.33 % 3.25 USDT,-21.13 % 2.41 USDT
AVAXUSDT,Long,24.828 USDT,"1,738","43,151.48 USDT","1,101 USDT",2.55 %,02/03/2025 02:04 UTC,02/18/2025 07:28 UTC,15.85 % 28.76 USDT,-14.54 % 21.22 USDT
GMTUSDT,Short,0.07 USDT,"3,000,000","-210,242.47 USDT","-7,235.11 USDT",-3.44 %,02/06/2025 06:36 UTC,02/17/2025 14:26 UTC,14.92 % 0.06 USDT,-7.95 % 0.08 USDT
ARKUSDT,Long,0.489 USDT,"2,000",977.60 USDT,31.00 USDT,3.17 %,02/17/2025 08:31 UTC,02/17/2025 09:04 UTC,3.25 % 0.50 USDT,-1.00 % 0.48 USDT
ARKUSDT,Short,0.53 USDT,"658,000","-348,939.82 USDT","14,587 USDT",4.18 %,02/17/2025 07:11 UTC,02/17/2025 08:31 UTC,5.74 % 0.50 USDT,-1.09 % 0.54 USDT
LAYERUSDT,Long,0.73 USDT,"100,000","72,989.74 USDT","-2,452.82 USDT",-3.36 %,02/16/2025 14:05 UTC,02/17/2025 05:04 UTC,2.95 % 0.75 USDT,-3.88 % 0.70 USDT
TRUMPUSDT,Short,17.089 USDT,"20,691","-353,598.06 USDT","-44,711.77 USDT",-12.64 %,02/13/2025 06:25 UTC,02/15/2025 15:30 UTC,7.63 % 15.88 USDT,-29.50 % 24.24 USDT
ARCUSDT,Long,0.325 USDT,"200,000","64,923.94 USDT","-14,307.01 USDT",-22.04 %,02/13/2025 17:38 UTC,02/15/2025 15:13 UTC,19.04 % 0.39 USDT,-26.72 % 0.24 USDT
YGGUSDT,Short,0.277 USDT,"130,700","36,162.08 USDT","1,840 USDT",5.09 %,02/14/2025 15:01 UTC,02/14/2025 22:56 UTC,5.68 % 0.26 USDT,
AUCTIONUSDT,Short,12.112 USDT,"10,000","-121,116.69 USDT","8,769 USDT",7.24 %,02/13/2025 15:52 UTC,02/13/2025 16:04 UTC,5.62 % 11.47 USDT,
TRUMPUSDT,Long,17.885 USDT,"2,581.51","46,170.18 USDT",-1.76 USDT,0.00 %,02/13/2025 06:24 UTC,02/13/2025 06:25 UTC,,-5.89 % 16.83 USDT
SAFEUSDT,Short,0.657 USDT,"123,630","-81,279.21 USDT","-1,639.55 USDT",-2.02 %,02/12/2025 15:15 UTC,02/12/2025 15:27 UTC,,-4.76 % 0.69 USDT
LDOUSDT,Long,1.763 USDT,"15,702","27,679.25 USDT","-2,932.85 USDT",-10.60 %,02/04/2025 05:29 UTC,02/12/2025 13:38 UTC,6.68 % 1.88 USDT,-19.79 % 1.41 USDT
UNIUSDT,Long,7.819 USDT,"3,853","29,672.66 USDT","5,555 USDT",18.72 %,02/03/2025 02:13 UTC,02/12/2025 13:38 UTC,30.45 % 10.20 USDT,-2.95 % 7.59 USDT
QTUMUSDT,Short,3.585 USDT,"61,700","-221,271.25 USDT","14,271 USDT",6.45 %,02/12/2025 08:11 UTC,02/12/2025 11:52 UTC,8.12 % 3.32 USDT,
LAYERUSDT,Short,1.052 USDT,"30,000","-31,549.93 USDT","-1,445.52 USDT",-4.58 %,02/12/2025 06:47 UTC,02/12/2025 11:51 UTC,2.09 % 1.03 USDT,-9.31 % 1.16 USDT
LAYERUSDT,Short,1.352 USDT,"98,243.4","-132,819.03 USDT","8,549 USDT",6.44 %,02/12/2025 05:39 UTC,02/12/2025 05:49 UTC,4.66 % 1.29 USDT,
LAYERUSDT,Short,1.147 USDT,"101,000","-115,886.36 USDT","5,666 USDT",4.89 %,02/12/2025 00:21 UTC,02/12/2025 01:05 UTC,6.44 % 1.08 USDT,-10.36 % 1.28 USDT
QTUMUSDT,Short,3.419 USDT,"30,000","-102,562.10 USDT","-3,520.94 USDT",-3.43 %,02/11/2025 04:34 UTC,02/11/2025 05:09 UTC,,-3.23 % 3.53 USDT
SOLUSDT,Short,193.97 USDT,"10,000","1,934,106.50 USDT","-86,366.47 USDT",-4.47 %,02/06/2025 22:00 UTC,02/10/2025 17:35 UTC,3.23 % 187.90 USDT,-6.31 % 207.03 USDT
COOKIEUSDT,Short,0.181 USDT,"300,000","54,182.06 USDT","3,510 USDT",6.48 %,02/10/2025 02:33 UTC,02/10/2025 03:01 UTC,6.43 % 0.17 USDT,
1000CHEEMSUSDT,Long,0.001 USDT,"876,646",969.32 USDT,158.73 USDT,16.38 %,02/09/2025 07:10 UTC,02/09/2025 07:17 UTC,53.75 % 0.00 USDT,
MEUSDT,Short,1.718 USDT,"100,000","171,822.79 USDT","5,463 USDT",3.18 %,02/08/2025 19:16 UTC,02/09/2025 01:49 UTC,5.67 % 1.63 USDT,-10.65 % 1.92 USDT
JUPUSDT,Long,0.792 USDT,"38,033","30,104.15 USDT","1,437 USDT",4.78 %,02/03/2025 02:04 UTC,02/08/2025 07:41 UTC,35.33 % 1.07 USDT,-7.98 % 0.73 USDT
POPCATUSDT,Long,0.256 USDT,"77,373","19,812.24 USDT",439.72 USDT,2.22 %,02/07/2025 13:34 UTC,02/07/2025 13:42 UTC,9.97 % 0.28 USDT,-10.45 % 0.23 USDT
SOLUSDT,Short,194.351 USDT,"10,000","1,937,802.04 USDT","15,806 USDT",0.82 %,01/20/2025 00:54 UTC,02/06/2025 21:56 UTC,7.61 % 180.61 USDT,-11.52 % 219.66 USDT
ENAUSDT,Long,0.536 USDT,"58,536","31,386.93 USDT",-570.43 USDT,-1.82 %,02/03/2025 02:13 UTC,02/06/2025 15:31 UTC,31.05 % 0.70 USDT,-2.89 % 0.52 USDT
ENJUSDT,Short,0.122 USDT,"553,989","67,789.72 USDT",435.44 USDT,0.64 %,02/05/2025 15:18 UTC,02/06/2025 06:36 UTC,4.11 % 0.12 USDT,-5.68 % 0.13 USDT
MORPHOUSDT,Long,2.005 USDT,"14,826.3","29,725.59 USDT",513.93 USDT,1.73 %,02/03/2025 02:05 UTC,02/04/2025 21:02 UTC,23.39 % 2.47 USDT,-11.76 % 1.77 USDT
JOEUSDT,Short,0.229 USDT,"222,331","50,981.85 USDT",-528.86 USDT,-1.04 %,02/04/2025 15:18 UTC,02/04/2025 16:08 UTC,,-1.50 % 0.23 USDT
ETHUSDT,Long,"2,903.952 USDT",300,"871,185.52 USDT","-11,544.93 USDT",-1.33 %,02/03/2025 22:29 UTC,02/03/2025 22:48 UTC,"0.53 % 2,919 USDT","-1.83 % 2,850 USDT"
ETHFIUSDT,Long,1.383 USDT,"103,701.7","143,402.62 USDT","-4,361.17 USDT",-3.04 %,02/03/2025 22:38 UTC,02/03/2025 22:47 UTC,9.05 % 1.51 USDT,-6.00 % 1.30 USDT
ETHUSDT,Short,"2,527.126 USDT",700,"-1,768,988.02 USDT","-50,847.37 USDT",-2.87 %,02/03/2025 01:48 UTC,02/03/2025 22:29 UTC,"10.45 % 2,288 USDT","-12.68 % 2,894 USDT"
ADAUSDT,Short,0.613 USDT,"1,000,000","-612,743.90 USDT","-35,834.36 USDT",-5.85 %,02/03/2025 02:55 UTC,02/03/2025 03:32 UTC,,-8.26 % 0.67 USDT
ETHUSDT,Long,"2,706.343 USDT",500,"1,353,171.75 USDT","-13,569.82 USDT",-1.00 %,02/03/2025 01:46 UTC,02/03/2025 01:48 UTC,"0.41 % 2,717 USDT","-2.82 % 2,630 USDT"
QTUMUSDT,Short,4.256 USDT,"10,000","42,562.92 USDT","15,276 USDT",35.89 %,02/01/2025 08:53 UTC,02/03/2025 01:40 UTC,56.71 % 2.72 USDT,
ETHUSDT,Short,"3,199.948 USDT",200,"639,989.58 USDT","78,872 USDT",12.32 %,01/30/2025 23:20 UTC,02/03/2025 01:33 UTC,"13.89 % 2,809 USDT",
XRPUSDT,Long,2.387 USDT,"84,033.6","200,600.61 USDT","4,277 USDT",2.13 %,02/03/2025 00:54 UTC,02/03/2025 00:58 UTC,2.21 % 2.44 USDT,-0.67 % 2.37 USDT
AAVEUSDT,Long,299.916 USDT,66.1,"19,824.44 USDT","-3,269.37 USDT",-16.49 %,01/27/2025 14:41 UTC,02/03/2025 00:54 UTC,,-19.56 % 241.26 USDT
MORPHOUSDT,Long,2.714 USDT,"14,860.7","40,327.57 USDT","-6,822.50 USDT",-16.92 %,02/02/2025 20:31 UTC,02/03/2025 00:54 UTC,,-19.57 % 2.18 USDT
