Total Return (%),Annualized Return (%),Max Drawdown (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Win Rate (%),Profit/Loss Ratio,Max Consecutive Wins,Max Consecutive Losses,Trading Days,Portfolio,Weights
99.58348050000005,181.1621587097668,10.863790562527434,38.96112440887724,4.5984853216645085,16.675777912605476,15.918367346938775,4.431048616068775,4,23,244,hummusXBT,hummusXBT Only
60.0044605929998,231.92231714720498,29.69241761907916,69.14031643503623,3.325444964707942,7.8108263234914554,45.83333333333333,0.8051989787783919,7,20,143,Panic,Panic Only
129.9292399830001,431.098639514906,17.588438106214912,42.15477685934372,10.179122545154575,24.51034235737944,26.775956284153008,3.1692364816381566,5,19,182,Cyborg0578,Cyborg0578 Only
129.05966757841915,227.50699669759013,13.198519974597176,26.845747095852524,8.400101360279496,17.237311239098513,56.94444444444444,1.5652383669227146,7,4,255,Equal Portfolio (33:33:33),0.33:0.33:0.33
125.4157993307088,220.0752638709108,12.27378550445946,24.228282468219824,9.000855267267069,17.930512456075625,56.25,1.6251104949982056,7,7,255,Hummus Focused (60:20:20),0.60:0.20:0.20
105.47021378727783,180.3239158952008,19.044280506640238,38.9449010152997,4.578877112183322,9.468665189652432,58.333333333333336,1.223036426044648,7,4,255,Panic Focused (20:60:20),0.20:0.60:0.20
139.01080786715866,248.06189357661847,11.489715883223258,30.277181012917996,8.126975013678923,21.589906669391777,57.638888888888886,1.524218943481435,7,4,255,Cyborg Focused (20:20:60),0.20:0.20:0.60
138.00993483016114,245.9775089166276,10.292796756549652,25.907214327437707,9.417357876961589,23.89802448592059,57.638888888888886,1.5958583082540267,7,4,255,Hummus-Cyborg (40:20:40),0.40:0.20:0.40
126.63808312995775,222.56240025781966,10.500549583101716,25.16458976735035,8.764792205910984,21.195309683217346,56.25,1.6380647610463583,7,7,255,Hummus-Heavy (70:10:20),0.70:0.10:0.20
57.76232774173229,92.05096608933178,6.121148760660233,13.88035341401059,6.4876565749713455,15.038184773572317,54.861111111111114,1.7931288461482169,7,7,255,Cash-Hedge (50% Cash + 30:7.5:12.5),0.30:0.07:0.12
147.1033750820673,265.05285874393394,9.912144817702968,31.572159003595246,8.331798237617488,26.740212498767452,33.33333333333333,2.6862011676549624,6,14,255,Hummus-Cyborg Only (50:0:50),0.50:0.00:0.50
135.85870081097661,241.5102183925719,9.08778778293588,28.54832615432005,8.389641378548149,26.575248472026946,32.63888888888889,2.8483318189810056,6,14,255,Hummus-Cyborg Only (70:0:30),0.70:0.00:0.30
