time,capital
2024-09-04 19:10:00,118687.02976019464
2024-09-04 19:30:00,112915.62636749638
2024-09-04 23:15:00,113064.3055244092
2024-09-05 22:44:00,113064.3055244092
2024-09-05 23:30:00,113075.282052457
2024-09-06 09:28:00,113075.282052457
2024-09-06 21:48:00,113075.282052457
2024-09-06 23:25:00,112033.04917339148
2024-09-10 18:04:00,113325.945908091
2024-09-11 21:04:00,113325.945908091
2024-09-13 02:25:00,114067.61526642766
2024-09-13 09:16:00,114067.61526642766
2024-09-14 20:47:00,114380.98175569238
2024-09-17 08:29:00,114380.98175569238
2024-09-18 07:42:00,114492.66108000909
2024-09-19 03:00:00,114492.66108000909
2024-09-19 13:30:00,115109.02262317696
2024-09-21 18:01:00,115109.02262317696
2024-09-26 11:27:00,115226.11752095971
2024-09-26 12:08:00,115226.11752095971
2024-09-27 20:25:00,116616.5377540268
2024-09-28 00:54:00,116616.5377540268
2024-09-29 03:09:00,116677.65129379711
2024-09-29 04:53:00,116677.65129379711
2024-09-29 07:28:00,116677.65129379711
2024-09-30 18:00:00,116677.65129379711
2024-09-30 19:55:00,116641.91563612732
2024-09-30 19:56:00,116605.19009979084
2024-09-30 19:59:00,116586.2268242912
2024-09-30 23:03:00,116770.8197821632
2024-10-01 15:32:00,116770.8197821632
2024-10-01 16:02:00,116771.53864125493
2024-10-01 22:20:00,116858.82762326564
2024-10-01 22:26:00,116563.69961634658
2024-10-01 23:00:00,116563.69961634658
2024-10-01 23:27:00,116563.69961634658
2024-10-02 00:06:00,116461.00536848076
2024-10-02 02:28:00,116461.00536848076
2024-10-02 02:32:00,116461.00536848076
2024-10-02 04:13:00,116565.65532440507
2024-10-02 06:50:00,116565.65532440507
2024-10-02 06:51:00,116565.65532440507
2024-10-02 13:42:00,116676.72032973684
2024-10-02 13:43:00,116675.0014228163
2024-10-02 20:39:00,116675.0014228163
2024-10-02 22:01:00,116675.0014228163
2024-10-02 22:40:00,116617.061823565
2024-10-03 04:10:00,116617.061823565
2024-10-03 04:18:00,116617.061823565
2024-10-03 04:21:00,116617.061823565
2024-10-03 04:23:00,116617.061823565
2024-10-04 13:27:00,116575.93332027728
2024-10-05 00:06:00,116766.60043916132
2024-10-05 11:34:00,117322.64347064897
