time,end_capital,cumulative_max,drawdown
2024-01-24 04:02:00,99662.49648,99662.49648,0.0
2024-02-09 00:44:00,99662.49648,99662.49648,0.0
2024-02-17 00:53:00,108210.32742031159,108210.32742031159,0.0
2024-02-27 18:34:00,108210.32742031159,108210.32742031159,0.0
2024-02-29 02:32:00,111214.56477755932,111214.56477755932,0.0
2024-03-04 18:04:00,111214.56477755932,111214.56477755932,0.0
2024-03-04 18:49:00,111363.3540295599,111363.3540295599,0.0
2024-03-14 02:52:00,111363.3540295599,111363.3540295599,0.0
2024-03-15 04:56:00,111145.88820825965,111363.3540295599,-0.19527592644391528
2024-03-18 01:37:00,111145.88820825965,111363.3540295599,-0.19527592644391528
2024-03-18 02:55:00,111392.99115539817,111392.99115539817,0.0
2024-03-19 04:31:00,111392.99115539817,111392.99115539817,0.0
2024-03-21 01:59:00,111392.99115539817,111392.99115539817,0.0
2024-03-21 02:59:00,111154.3929206227,111392.99115539817,-0.21419501559358117
2024-03-21 03:07:00,111154.3929206227,111392.99115539817,-0.21419501559358117
2024-03-21 04:40:00,111153.26629488029,111392.99115539817,-0.215206412927227
2024-03-21 14:53:00,111987.46209757066,111987.46209757066,0.0
2024-03-23 15:36:00,111987.46209757066,111987.46209757066,0.0
2024-03-28 00:02:00,111987.46209757066,111987.46209757066,0.0
2024-03-28 01:35:00,111713.59216504866,111987.46209757066,-0.244554102211366
2024-04-03 18:33:00,112135.3520788541,112135.3520788541,0.0
2024-04-14 14:08:00,112135.3520788541,112135.3520788541,0.0
2024-04-16 07:05:00,112867.0012928397,112867.0012928397,0.0
2024-05-04 22:47:00,112867.0012928397,112867.0012928397,0.0
2024-05-05 00:05:00,112686.79794988185,112867.0012928397,-0.15965990138278868
2024-05-10 10:00:00,112686.79794988185,112867.0012928397,-0.15965990138278868
2024-05-10 10:45:00,112649.861684912,112867.0012928397,-0.1923853787559421
2024-05-13 21:40:00,112649.861684912,112867.0012928397,-0.1923853787559421
2024-05-13 22:41:00,112727.60895482474,112867.0012928397,-0.12350140999432006
2024-05-15 12:11:00,112727.60895482474,112867.0012928397,-0.12350140999432006
2024-05-15 12:26:00,112547.16759353576,112867.0012928397,-0.2833721952744317
2024-05-16 18:00:00,112547.16759353576,112867.0012928397,-0.2833721952744317
2024-05-28 21:35:00,113023.23541851198,113023.23541851198,0.0
2024-05-29 00:53:00,113023.23541851198,113023.23541851198,0.0
2024-05-29 02:49:00,113149.66347269146,113149.66347269146,0.0
2024-05-29 18:32:00,113149.66347269146,113149.66347269146,0.0
2024-06-14 19:07:00,106229.25403786747,113149.66347269146,-6.116155561076169
2024-06-25 04:01:00,106229.25403786747,113149.66347269146,-6.116155561076169
2024-06-26 08:34:00,107108.27501025415,113149.66347269146,-5.339289819359824
2024-06-29 13:18:00,107108.27501025415,113149.66347269146,-5.339289819359824
2024-06-30 20:50:00,107077.32330071724,113149.66347269146,-5.366644482720691
2024-07-04 19:54:00,107077.32330071724,113149.66347269146,-5.366644482720691
2024-07-06 01:42:00,107077.32330071724,113149.66347269146,-5.366644482720691
2024-07-06 02:37:00,107205.47644353693,113149.66347269146,-5.25338462945509
2024-07-06 03:05:00,107205.47644353693,113149.66347269146,-5.25338462945509
2024-07-06 10:48:00,113580.28531139594,113580.28531139594,0.0
2024-07-07 00:01:00,113580.28531139594,113580.28531139594,0.0
2024-07-07 11:01:00,114999.02952881649,114999.02952881649,0.0
2024-07-07 16:27:00,118875.73563680511,118875.73563680511,0.0
2024-07-08 09:30:00,118875.73563680511,118875.73563680511,0.0
2024-07-08 14:09:00,118875.73563680511,118875.73563680511,0.0
2024-07-09 00:55:00,117096.21716138755,118875.73563680511,-1.496956856573681
2024-07-09 02:48:00,117725.54572136655,118875.73563680511,-0.9675565070340989
2024-07-09 10:02:00,117725.54572136655,118875.73563680511,-0.9675565070340989
2024-07-10 01:11:00,117901.6034040502,118875.73563680511,-0.819454220440014
2024-07-13 06:41:00,117901.6034040502,118875.73563680511,-0.819454220440014
2024-07-13 08:05:00,117979.80392692931,118875.73563680511,-0.7536708017631938
2024-08-01 22:35:00,117979.80392692931,118875.73563680511,-0.7536708017631938
2024-08-02 08:32:00,117931.23919572853,118875.73563680511,-0.794524160895419
2024-08-02 11:08:00,117931.23919572853,118875.73563680511,-0.794524160895419
2024-08-02 16:42:00,118247.76760199503,118875.73563680511,-0.5282558559542204
2024-08-03 13:07:00,118247.76760199503,118875.73563680511,-0.5282558559542204
2024-08-03 14:14:00,118468.24370645707,118875.73563680511,-0.34278814609655156
2024-08-04 15:12:00,118468.24370645707,118875.73563680511,-0.34278814609655156
2024-08-05 01:34:00,118472.48563874666,118875.73563680511,-0.33921977087946964
2024-08-10 18:11:00,118472.48563874666,118875.73563680511,-0.33921977087946964
2024-08-12 03:39:00,118603.53257281937,118875.73563680511,-0.22898118150653404
2024-08-16 10:39:00,118603.53257281937,118875.73563680511,-0.22898118150653404
2024-08-21 08:20:00,118687.02976019465,118875.73563680511,-0.1587421315204336
2024-08-30 23:59:00,118687.02976019465,118875.73563680511,-0.1587421315204336
2024-09-04 19:10:00,118687.02976019465,118875.73563680511,-0.1587421315204336
2024-09-04 19:30:00,112915.62636749638,118875.73563680511,-5.0137307141621745
2024-09-04 23:15:00,113064.3055244092,118875.73563680511,-4.8886596421588315
2024-09-05 22:44:00,113064.3055244092,118875.73563680511,-4.8886596421588315
2024-09-05 23:30:00,113075.282052457,118875.73563680511,-4.879426026914306
2024-09-06 09:28:00,113075.282052457,118875.73563680511,-4.879426026914306
