,Trader,Trade Count,Start Date,End Date,Total PnL,Win Rate,Max Drawdown,Total Return (%),Annual Return (%),Avg Win,Avg Loss,Sharpe Ratio,Max Win Streak,Max Lose Streak
hummusXBT,hummusXBT,409,2024-07-24 22:23:00,2025-03-26 02:10:00,1982183.9000000001,41.56479217603912,-117828.36000000004,99.109195,148.25760727459016,25403.34211764706,-9942.060680851066,3.419585489406736,9,12
RebelOfBabylon,RebelOfBabylon,55,2024-09-04 19:30:00,2025-04-04 17:42:00,1061323.13,85.45454545454545,-308238.67000000004,106.13231299999998,183.5938115876777,30676.57,-47559.457500000004,6.928705474222969,16,2
Panic,Panic,408,2024-11-15 17:59:00,2025-04-06 02:06:00,727596.48,64.95098039215686,-274708.9600000001,36.379824,94.17472170212766,7617.685660377358,-9028.602937062937,2.88006392121391,13,9
