Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
SOLUSDT,Short,143.05 USDT,"5,000","-715,250.00 USDT","24,628 USDT",3.44 %,03/05/2025 00:34 UTC,03/08/2025 11:02 UTC,5.45 % 135.66 USDT,-6.20 % 152.50 USDT
ADAUSDT,Short,0.824 USDT,"100,000","82,380.00 USDT",990.61 USDT,1.20 %,03/07/2025 16:11 UTC,03/07/2025 21:08 UTC,0.78 % 0.82 USDT,-4.40 % 0.86 USDT
BTCUSDT,Long,"82,610.651 USDT",30,"2,478,319.54 USDT","2,371 USDT",0.10 %,03/04/2025 16:12 UTC,03/04/2025 16:18 UTC,"0.55 % 83,064 USDT","-0.02 % 82,596 USDT"
SOLUSDT,Short,170.18 USDT,"5,000","-850,898.53 USDT","159,285 USDT",18.72 %,03/03/2025 02:20 UTC,03/04/2025 15:59 UTC,27.71 % 133.26 USDT,-0.77 % 171.50 USDT
BERAUSDT,Long,8.193 USDT,"100,273.8","780,864.46 USDT","30,788 USDT",3.94 %,02/26/2025 21:05 UTC,03/03/2025 06:41 UTC,9.17 % 8.94 USDT,-12.05 % 7.21 USDT
ETHUSDT,Long,"2,447.917 USDT","1,501.505","3,675,559.40 USDT","48,773 USDT",1.33 %,03/02/2025 16:39 UTC,03/02/2025 16:45 UTC,"2.04 % 2,497 USDT","-2.56 % 2,385 USDT"
BTCUSDT,Long,"82,468.495 USDT",60.02,"4,949,759.05 USDT","457,359 USDT",9.24 %,02/26/2025 09:45 UTC,03/02/2025 16:37 UTC,"9.68 % 90,450 USDT","-5.18 % 78,200 USDT"
SOLUSDT,Long,139.99 USDT,"3,000","419,970.00 USDT","5,236 USDT",1.25 %,03/01/2025 12:05 UTC,03/01/2025 23:09 UTC,2.45 % 143.42 USDT,-1.06 % 138.50 USDT
TAOUSDT,Long,306.826 USDT,600,"184,095.72 USDT","8,229 USDT",4.47 %,02/28/2025 04:51 UTC,03/01/2025 11:16 UTC,10.69 % 339.62 USDT,-1.82 % 301.25 USDT
ENAUSDT,Long,0.426 USDT,"1,500,000","638,700.00 USDT","-36,939.80 USDT",-5.78 %,02/26/2025 03:02 UTC,03/01/2025 11:15 UTC,3.85 % 0.44 USDT,-10.15 % 0.38 USDT
SOLUSDT,Short,140.741 USDT,"3,000","-422,222.08 USDT","13,672 USDT",3.24 %,02/25/2025 11:40 UTC,02/26/2025 21:24 UTC,7.47 % 130.96 USDT,-3.96 % 146.54 USDT
COWUSDT,Short,0.445 USDT,"245,199","-109,109.08 USDT","1,204 USDT",1.10 %,02/25/2025 11:47 UTC,02/25/2025 13:29 UTC,8.61 % 0.41 USDT,-1.12 % 0.45 USDT
COWUSDT,Short,0.403 USDT,"176,819","-71,186.07 USDT","-6,376.92 USDT",-8.96 %,02/25/2025 11:29 UTC,02/25/2025 11:41 UTC,1.46 % 0.40 USDT,-7.07 % 0.43 USDT
SOLUSDT,Short,133.367 USDT,"3,000","400,101.66 USDT","-7,901.35 USDT",-1.97 %,02/25/2025 10:14 UTC,02/25/2025 10:31 UTC,0.62 % 132.55 USDT,-1.87 % 135.91 USDT
SOLUSDT,Short,182.138 USDT,"3,000","-546,415.00 USDT","135,727 USDT",24.84 %,02/17/2025 04:44 UTC,02/25/2025 08:08 UTC,35.44 % 134.48 USDT,-2.36 % 186.54 USDT
KAITOUSDT,Long,1.557 USDT,"11,555","17,989.39 USDT",413.73 USDT,2.30 %,02/23/2025 18:13 UTC,02/24/2025 02:59 UTC,4.38 % 1.62 USDT,-5.56 % 1.47 USDT
TAOUSDT,Long,398.799 USDT,600,"239,279.24 USDT","36,216 USDT",15.14 %,02/19/2025 11:16 UTC,02/20/2025 22:07 UTC,17.72 % 469.47 USDT,-0.59 % 396.46 USDT
JUPUSDT,Short,0.738 USDT,"100,000","73,820.40 USDT","2,166 USDT",2.94 %,02/18/2025 05:31 UTC,02/18/2025 23:05 UTC,9.66 % 0.67 USDT,-1.12 % 0.75 USDT
JUPUSDT,Short,0.838 USDT,"250,000","209,500.00 USDT","8,245 USDT",3.94 %,02/17/2025 04:45 UTC,02/18/2025 01:45 UTC,5.03 % 0.80 USDT,-0.83 % 0.84 USDT
