time,capital
2024-09-04 19:10:00,115779.01836089464
2024-09-04 19:30:00,110058.3198143828
2024-09-04 23:15:00,110181.41450700224
2024-09-05 22:44:00,110181.41450700224
2024-09-05 23:30:00,110162.43427715564
2024-09-06 09:28:00,110162.43427715564
2024-09-06 21:48:00,110162.43427715564
2024-09-06 23:25:00,109112.49454389176
2024-09-10 18:04:00,110328.46392598854
2024-09-11 21:04:00,110328.46392598854
2024-09-13 02:25:00,111028.32522235689
2024-09-13 09:16:00,111028.32522235689
2024-09-14 20:47:00,111326.68163236926
2024-09-17 08:29:00,111326.68163236926
2024-09-18 07:42:00,111428.77510830744
2024-09-19 03:00:00,111428.77510830744
2024-09-19 13:30:00,111978.2439025144
2024-09-21 18:01:00,111978.2439025144
2024-09-26 11:27:00,111976.54139861812
2024-09-26 12:08:00,111976.54139861812
2024-09-27 20:25:00,113208.32232168967
2024-09-28 00:54:00,113208.32232168967
2024-09-29 03:09:00,113167.67608297114
2024-09-29 04:53:00,113167.67608297114
2024-09-29 07:28:00,113167.67608297114
2024-09-30 18:00:00,113167.67608297114
2024-09-30 19:55:00,113132.11172802278
2024-09-30 19:56:00,113094.12030680486
2024-09-30 19:59:00,113070.7689580702
2024-09-30 23:03:00,113247.92894524075
2024-10-01 15:32:00,113247.92894524075
2024-10-01 16:02:00,113247.42427297017
2024-10-01 22:20:00,113327.48751597657
2024-10-01 22:26:00,113016.9642357329
2024-10-01 23:00:00,113016.9642357329
2024-10-01 23:27:00,113016.9642357329
2024-10-02 00:06:00,112905.0369110278
2024-10-02 02:28:00,112905.0369110278
2024-10-02 02:32:00,112905.0369110278
2024-10-02 04:13:00,112988.12663919295
2024-10-02 06:50:00,112988.12663919295
2024-10-02 06:51:00,112988.12663919295
2024-10-02 13:42:00,113081.3076192498
2024-10-02 13:43:00,113077.22805708328
2024-10-02 20:39:00,113077.22805708328
2024-10-02 22:01:00,113077.22805708328
2024-10-02 22:40:00,113005.45074927065
2024-10-03 04:10:00,113005.45074927065
2024-10-03 04:18:00,113005.45074927065
2024-10-03 04:21:00,113005.45074927065
2024-10-03 04:23:00,113005.45074927065
2024-10-04 13:27:00,112963.78136951264
2024-10-05 00:06:00,113142.47438414724
2024-10-05 11:34:00,113643.16747091152
2024-10-05 14:13:00,113643.16747091152
2024-10-06 02:08:00,113643.16747091152
2024-10-06 02:10:00,113593.47044129396
2024-10-06 20:32:00,113593.47044129396
2024-10-06 23:35:00,113593.47044129396
2024-10-07 06:49:00,113625.95729241622
2024-10-07 13:15:00,113625.95729241622
2024-10-07 17:11:00,113625.95729241622
2024-10-07 17:12:00,113625.95729241622
2024-10-07 19:25:00,113345.9072655997
2024-10-07 19:27:00,113274.64877370722
2024-10-08 00:24:00,113274.64877370722
2024-10-08 19:15:00,113274.64877370722
2024-10-09 09:35:00,113282.64083023382
2024-10-10 05:41:00,113282.64083023382
2024-10-10 09:52:00,113282.64083023382
2024-10-11 03:04:00,113282.64083023382
2024-10-11 19:06:00,113282.64083023382
2024-10-11 19:07:00,113282.64083023382
2024-10-11 19:08:00,113282.64083023382
2024-10-12 09:34:00,113632.79160507197
2024-10-14 18:46:00,114112.60543051704
2024-10-14 21:39:00,114112.60543051704
2024-10-15 04:47:00,114789.96476981066
2024-10-15 08:28:00,115757.2771352461
2024-10-15 09:14:00,117157.13804667296
2024-10-15 09:16:00,117900.92530955144
2024-10-15 20:28:00,117899.2595438176
2024-10-15 20:32:00,117992.2426315578
2024-10-16 00:05:00,120235.60634403257
2024-10-20 23:06:00,120282.81063218693
2024-10-25 01:24:00,120282.81063218693
2024-10-25 17:55:00,131420.72535965
2024-10-25 17:59:00,131420.72535965
2024-10-25 23:39:00,131420.4500153351
2024-10-26 03:05:00,131420.4500153351
2024-10-26 04:29:00,131592.0271849252
2024-10-26 14:32:00,131592.0271849252
2024-10-26 14:42:00,131592.0271849252
2024-10-26 14:44:00,131592.0271849252
2024-10-26 19:28:00,131592.0271849252
2024-10-26 20:04:00,131592.0271849252
2024-10-28 06:17:00,131770.1668360538
2024-10-28 06:18:00,132114.73053541995
2024-10-28 06:19:00,133208.63954493002
2024-10-28 06:21:00,133178.27669471913
2024-10-29 16:27:00,133178.27669471913
2024-10-29 18:29:00,134561.4409861633
2024-10-29 18:30:00,134561.4409861633
2024-10-30 01:56:00,134561.4409861633
2024-11-01 01:07:00,134561.4409861633
2024-11-02 05:09:00,134561.4409861633
2024-11-04 00:35:00,136034.61298883933
2024-11-04 21:12:00,136034.61298883933
2024-11-04 22:58:00,135954.72861172463
2024-11-05 00:53:00,135954.72861172463
2024-11-05 14:26:00,135954.72861172463
2024-11-06 04:59:00,135954.72861172463
2024-11-06 06:11:00,136069.84198840236
2024-11-06 08:55:00,136142.98267703256
2024-11-06 17:23:00,136142.98267703256
2024-11-06 17:56:00,136206.5562891293
2024-11-07 04:38:00,136206.5562891293
2024-11-07 15:07:00,136206.5562891293
2024-11-07 15:08:00,136206.5562891293
2024-11-07 15:10:00,136206.5562891293
2024-11-07 15:17:00,139742.17871625995
2024-11-09 16:53:00,139742.17871625995
2024-11-10 20:24:00,139742.17871625995
2024-11-10 22:50:00,139742.17871625995
2024-11-11 15:04:00,139742.17871625995
2024-11-12 22:21:00,139735.2134561216
2024-11-13 01:15:00,138943.98931117964
2024-11-13 01:17:00,138475.26407377733
2024-11-13 01:18:00,138393.48819629234
2024-11-13 01:21:00,138213.9261664153
2024-11-13 07:59:00,138213.9261664153
2024-11-14 11:42:00,138923.5600917441
2024-11-14 23:41:00,139186.71421630043
