Trader,Max Drawdown (%),Final Return (%),Annualized Return (%),Trading Days,Max Capital Used
hummusXBT,10.863790562527434,99.58348050000005,181.1621587097668,244,6394103.53
RebelOfBabylon,30.823867000000003,98.651213,218.947323380887,216,8443608.59
Panic,29.290177014913382,71.68284800000002,297.3087452948553,143,2686660.18
Optimized Portfolio,13.1747909151917,87.46346371700002,156.00971425380644,244,14388938.68
Equal Portfolio,11.740641402210537,89.97251383333335,161.15237460306977,244,14388938.68
Hummus Focused Portfolio,11.281567148222821,92.37525550000004,166.10881958841773,244,14388938.68
