period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
1,2024-01-24 04:02:00,100000.0,99487.48265550578,-512.5173444942193,-0.5125173444942193,99487.48265550578,0.0,2024-01
2,2024-02-09 00:44:00,99487.48265550578,99487.48265550578,0.0,0.0,99487.48265550578,0.0,2024-02
3,2024-02-17 00:53:00,99487.48265550578,107949.50491653717,8462.022261031394,8.505615013230102,107949.50491653717,0.0,2024-02
4,2024-02-27 18:34:00,107949.50491653717,107949.50491653717,0.0,0.0,107949.50491653717,0.0,2024-02
5,2024-02-29 02:32:00,107949.50491653717,110901.80253635462,2952.297619817444,2.7348875959181638,110901.80253635462,0.0,2024-02
6,2024-03-04 18:04:00,110901.80253635462,110901.80253635462,0.0,0.0,110901.80253635462,0.0,2024-03
7,2024-03-04 18:49:00,110901.80253635462,110984.73720330032,82.93466694570088,0.07478207301320837,110984.73720330032,0.0,2024-03
8,2024-03-14 02:52:00,110984.73720330032,110984.73720330032,0.0,0.0,110984.73720330032,0.0,2024-03
9,2024-03-15 04:56:00,110984.73720330032,110751.95998316589,-232.77722013443417,-0.20973804687038727,110984.73720330032,-0.20973804687038727,2024-03
10,2024-03-18 01:37:00,110751.95998316589,110751.95998316589,0.0,0.0,110984.73720330032,-0.20973804687038727,2024-03
11,2024-03-18 02:55:00,110751.95998316589,110983.78942463156,231.82944146567024,0.20932310498243817,110984.73720330032,-0.0008539720799877221,2024-03
12,2024-03-19 04:31:00,110983.78942463156,110983.78942463156,0.0,0.0,110984.73720330032,-0.0008539720799877221,2024-03
13,2024-03-21 01:59:00,110983.78942463156,110983.78942463156,0.0,0.0,110984.73720330032,-0.0008539720799877221,2024-03
14,2024-03-21 02:59:00,110983.78942463156,110688.10859821498,-295.68082641657384,-0.2664180309119549,110984.73720330032,-0.26726972785634256,2024-03
15,2024-03-21 03:07:00,110688.10859821498,110688.10859821498,0.0,0.0,110984.73720330032,-0.26726972785634256,2024-03
16,2024-03-21 04:40:00,110688.10859821498,110647.91469580651,-40.19390240847133,-0.036312755649634,110984.73720330032,-0.30348543050277466,2024-03
17,2024-03-21 14:53:00,110647.91469580651,111405.4865789324,757.5718831258855,0.6846689205201958,111405.4865789324,0.0,2024-03
18,2024-03-23 15:36:00,111405.4865789324,111405.4865789324,0.0,0.0,111405.4865789324,0.0,2024-03
19,2024-03-28 00:02:00,111405.4865789324,111405.4865789324,0.0,0.0,111405.4865789324,0.0,2024-03
20,2024-03-28 01:35:00,111405.4865789324,111110.06623153221,-295.42034740018426,-0.2651757615105201,111405.4865789324,-0.2651757615105201,2024-03
21,2024-04-03 18:33:00,111110.06623153221,111484.90305970688,374.83682817466615,0.33735631782774533,111484.90305970688,0.0,2024-04
22,2024-04-14 14:08:00,111484.90305970688,111484.90305970688,0.0,0.0,111484.90305970688,0.0,2024-04
23,2024-04-16 07:05:00,111484.90305970688,112197.7523265156,712.8492668087274,0.6394132723306525,112197.7523265156,0.0,2024-04
24,2024-05-04 22:47:00,112197.7523265156,112197.7523265156,0.0,0.0,112197.7523265156,0.0,2024-05
25,2024-05-05 00:05:00,112197.7523265156,111875.42928000433,-322.32304651127197,-0.28728119755309717,112197.7523265156,-0.28728119755309717,2024-05
