time,end_capital,cumulative_max,drawdown
2024-01-24 04:02:00,99314.3929663143,99314.3929663143,0.0
2024-02-09 00:44:00,99314.3929663143,99314.3929663143,0.0
2024-02-17 00:53:00,107691.26539105072,107691.26539105072,0.0
2024-02-27 18:34:00,107691.26539105072,107691.26539105072,0.0
2024-02-29 02:32:00,110592.01490344363,110592.01490344363,0.0
2024-03-04 18:04:00,110592.01490344363,110592.01490344363,0.0
2024-03-04 18:49:00,110609.7037329533,110609.7037329533,0.0
2024-03-14 02:52:00,110609.7037329533,110609.7037329533,0.0
2024-03-15 04:56:00,110361.73113326568,110609.7037329533,-0.22418702095641294
2024-03-18 01:37:00,110361.73113326568,110609.7037329533,-0.22418702095641294
2024-03-18 02:55:00,110578.40832461682,110609.7037329533,-0.02829354684110386
2024-03-19 04:31:00,110578.40832461682,110609.7037329533,-0.02829354684110386
2024-03-21 01:59:00,110578.40832461682,110609.7037329533,-0.02829354684110386
2024-03-21 02:59:00,110226.24957020624,110609.7037329533,-0.34667316682525434
2024-03-21 03:07:00,110226.24957020624,110609.7037329533,-0.34667316682525434
2024-03-21 04:40:00,110147.40016031073,110609.7037329533,-0.4179593263885055
2024-03-21 14:53:00,110829.33417532915,110829.33417532915,0.0
2024-03-23 15:36:00,110829.33417532915,110829.33417532915,0.0
2024-03-28 00:02:00,110829.33417532915,110829.33417532915,0.0
2024-03-28 01:35:00,110512.61646089703,110829.33417532915,-0.2857706552049464
2024-04-03 18:33:00,110841.14333473465,110841.14333473465,0.0
2024-04-14 14:08:00,110841.14333473465,110841.14333473465,0.0
2024-04-16 07:05:00,111535.41597312177,111535.41597312177,0.0
2024-05-04 22:47:00,111535.41597312177,111535.41597312177,0.0
2024-05-05 00:05:00,111073.78926318276,111535.41597312177,-0.413883523821935
2024-05-10 10:00:00,111073.78926318276,111535.41597312177,-0.413883523821935
2024-05-10 10:45:00,110775.0781307404,111535.41597312177,-0.6817008174018908
2024-05-13 21:40:00,110775.0781307404,111535.41597312177,-0.6817008174018908
2024-05-13 22:41:00,110719.69949845727,111535.41597312177,-0.7313519813841677
2024-05-15 12:11:00,110719.69949845727,111535.41597312177,-0.7313519813841677
2024-05-15 12:26:00,110282.38645307829,111535.41597312177,-1.1234364521000553
2024-05-16 18:00:00,110282.38645307829,111535.41597312177,-1.1234364521000553
2024-05-28 21:35:00,110470.64048608941,111535.41597312177,-0.9546523655669593
2024-05-29 00:53:00,110470.64048608941,111535.41597312177,-0.9546523655669593
2024-05-29 02:49:00,110334.5593000667,111535.41597312177,-1.0766595189320436
2024-05-29 18:32:00,110334.5593000667,111535.41597312177,-1.0766595189320436
2024-06-14 19:07:00,103378.00711248016,111535.41597312177,-7.3137386806423965
2024-06-25 04:01:00,103378.00711248016,111535.41597312177,-7.3137386806423965
2024-06-26 08:34:00,104159.9003064255,111535.41597312177,-6.612711847933263
2024-06-29 13:18:00,104159.9003064255,111535.41597312177,-6.612711847933263
2024-06-30 20:50:00,104080.57739535342,111535.41597312177,-6.683830882528683
2024-07-04 19:54:00,104080.57739535342,111535.41597312177,-6.683830882528683
2024-07-06 01:42:00,104080.57739535342,111535.41597312177,-6.683830882528683
2024-07-06 02:37:00,103904.20372026156,111535.41597312177,-6.841963322841961
2024-07-06 03:05:00,103904.20372026156,111535.41597312177,-6.841963322841961
2024-07-06 10:48:00,109729.09670851506,111535.41597312177,-1.6195028716636493
2024-07-07 00:01:00,109729.09670851506,111535.41597312177,-1.6195028716636493
2024-07-07 11:01:00,111004.84120791256,111535.41597312177,-0.4757007095728861
2024-07-07 16:27:00,114449.49867986029,114449.49867986029,0.0
2024-07-08 09:30:00,114449.49867986029,114449.49867986029,0.0
2024-07-08 14:09:00,114449.49867986029,114449.49867986029,0.0
2024-07-09 00:55:00,112338.73547124602,114449.49867986029,-1.8442747525863132
2024-07-09 02:48:00,112880.04766166038,114449.49867986029,-1.3713044061381139
2024-07-09 10:02:00,112880.04766166038,114449.49867986029,-1.3713044061381139
2024-07-10 01:11:00,113034.81911873454,114449.49867986029,-1.2360731828829727
2024-07-13 06:41:00,113034.81911873454,114449.49867986029,-1.2360731828829727
2024-07-13 08:05:00,113095.52332043853,114449.49867986029,-1.1830330189642162
2024-08-01 22:35:00,113095.52332043853,114449.49867986029,-1.1830330189642162
2024-08-02 08:32:00,112789.04727060202,114449.49867986029,-1.4508157994670696
2024-08-02 11:08:00,112789.04727060202,114449.49867986029,-1.4508157994670696
2024-08-02 16:42:00,113076.0800445563,114449.49867986029,-1.2000215388847875
2024-08-03 13:07:00,113076.0800445563,114449.49867986029,-1.2000215388847875
2024-08-03 14:14:00,113027.36329952953,114449.49867986029,-1.2425876886615066
2024-08-04 15:12:00,113027.36329952953,114449.49867986029,-1.2425876886615066
2024-08-05 01:34:00,113001.62270235473,114449.49867986029,-1.2650784793348764
2024-08-10 18:11:00,113001.62270235473,114449.49867986029,-1.2650784793348764
2024-08-12 03:39:00,112995.83204591586,114449.49867986029,-1.2701380527761426
2024-08-16 10:39:00,112995.83204591586,114449.49867986029,-1.2701380527761426
2024-08-21 08:20:00,112958.18832770408,114449.49867986029,-1.3030291695097147
2024-08-30 23:59:00,112958.18832770408,114449.49867986029,-1.3030291695097147
2024-09-04 19:10:00,112958.18832770408,114449.49867986029,-1.3030291695097147
2024-09-04 19:30:00,107288.88449067362,114449.49867986029,-6.256571039438487
2024-09-04 23:15:00,107387.6348971465,114449.49867986029,-6.170288087034202
2024-09-05 22:44:00,107387.6348971465,114449.49867986029,-6.170288087034202
