year_month,month_total_seconds,month_position_seconds,month_position_ratio
2024-09,2591999.0,190800.0,7.361113951047049
2024-10,2678399.0,2527200.0,94.35487393775162
2024-11,2591999.0,2350800.0,90.69447943459855
2024-12,2678399.0,1468800.0,54.83873015185564
2025-01,2678399.0,1317600.0,49.193566753870506
2025-02,2419199.0,1944000.0,80.35717607356816
2025-03,2678399.0,1868400.0,69.75809056081637
