Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
GOATUSDT,12759.93,334885.12,4.3999999999999995,3.8102409566600035,normal
ADAUSDT,80168.31,2152305.09,3.2239999999999993,3.7247651539958957,normal
ETHUSDT,555324.03,27391731.0,2.1609090909090907,2.0273418645940997,normal
XRPUSDT,474034.6,23758337.41,2.8365217391304345,1.9952347330519709,normal
BTCUSDT,435888.03,23049994.06,1.216818181818182,1.891054847412833,normal
SOLUSDT,600758.35,44536508.07,1.3153658536585366,1.3489121083668292,normal
ONDOUSDT,19780.87,2000127.8800000001,2.6239999999999997,0.9889802646018813,normal
ENAUSDT,-13279.39,6824366.08,-1.0187500000000003,-0.19458789057224785,normal
DOGEUSDT,-11493.570000000002,3927305.5900000003,0.36500000000000005,-0.2926578983124153,normal
WIFUSDT,-37396.999999999985,9882978.48,-0.2706666666666667,-0.3783980717521504,normal
