,거래 횟수,총 거래량(USDT),평균 포지션 크기(USDT),최대 포지션 크기(USDT),총 수익(USDT),평균 수익률(%),승률(%),ROI(%)
low,83,45074932.42,543071.474939759,1544049.44,385367.23,1.1079518072289158,49.39759036144578,0.8549479928427145
normal,149,143858538.78,965493.5488590604,3571444.88,2116544.16,1.4865771812080535,56.375838926174495,1.4712676619333587
