Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ETHUSDT,Short,"3,275.569 USDT","1,520.629","-4,980,924.89 USDT","-56,032.00 USDT",-1.12 %,04/05/2024 13:32 UTC,04/05/2024 15:35 UTC,,"-1.56 % 3,327 USDT"
ETHUSDT,Long,"3,229.744 USDT","1,515.503","4,894,686.48 USDT","41,251 USDT",0.84 %,04/05/2024 12:30 UTC,04/05/2024 13:00 UTC,"1.20 % 3,268 USDT","-0.35 % 3,218 USDT"
BCHUSDT,Short,695.423 USDT,831.56,"-578,285.93 USDT","18,395 USDT",3.18 %,04/05/2024 06:34 UTC,04/05/2024 12:34 UTC,3.34 % 672.93 USDT,
ETHUSDT,Short,"3,287.536 USDT","1,508.36","-4,958,787.37 USDT","97,698 USDT",1.97 %,04/05/2024 06:32 UTC,04/05/2024 12:03 UTC,"1.46 % 3,240 USDT","-0.64 % 3,308 USDT"
ETHUSDT,Short,"3,307.679 USDT","1,505.716","-4,980,424.72 USDT","27,945 USDT",0.56 %,04/04/2024 20:27 UTC,04/05/2024 01:37 UTC,"0.43 % 3,293 USDT","-0.91 % 3,338 USDT"
XRPUSDT,Long,0.607 USDT,"1,235,985.4","750,364.59 USDT","1,899 USDT",0.25 %,04/04/2024 13:14 UTC,04/04/2024 13:19 UTC,1.37 % 0.62 USDT,-0.18 % 0.61 USDT
ENAUSDT,Long,1.013 USDT,"1,038,380","1,051,651.58 USDT","138,905 USDT",13.21 %,04/04/2024 03:08 UTC,04/04/2024 12:24 UTC,15.23 % 1.17 USDT,-10.05 % 0.91 USDT
BTCUSDT,Short,"66,137.008 USDT",118.375,"-7,828,968.36 USDT","-1,435.08 USDT",-0.02 %,04/03/2024 09:39 UTC,04/04/2024 07:28 UTC,"0.85 % 65,576 USDT","-0.51 % 66,475 USDT"
ENAUSDT,Long,1.032 USDT,"480,769","495,956.77 USDT","9,031 USDT",1.82 %,04/04/2024 02:28 UTC,04/04/2024 02:35 UTC,1.98 % 1.05 USDT,-0.44 % 1.03 USDT
ETHUSDT,Short,"3,346.937 USDT",478.295,"1,600,823.21 USDT","-10,028.89 USDT",-0.63 %,04/03/2024 16:11 UTC,04/03/2024 16:33 UTC,"0.04 % 3,345 USDT","-0.37 % 3,359 USDT"
