period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
1,2024-01-24 04:02:00,100000.0,99143.19585443812,-856.8041455618804,-0.8568041455618804,99143.19585443812,0.0,2024-01
2,2024-02-09 00:44:00,99143.19585443812,99143.19585443812,0.0,0.0,99143.19585443812,0.0,2024-02
3,2024-02-17 00:53:00,99143.19585443812,107435.5679638456,8292.372109407486,8.364035512414118,107435.5679638456,0.0,2024-02
4,2024-02-27 18:34:00,107435.5679638456,107435.5679638456,0.0,0.0,107435.5679638456,0.0,2024-02
5,2024-02-29 02:32:00,107435.5679638456,110285.15557352712,2849.587609681519,2.652368916261016,110285.15557352712,0.0,2024-02
6,2024-03-04 18:04:00,110285.15557352712,110285.15557352712,0.0,0.0,110285.15557352712,0.0,2024-03
7,2024-03-04 18:49:00,110285.15557352712,110238.19876760038,-46.95680592674762,-0.042577630400531565,110285.15557352712,-0.042577630400531565,2024-03
8,2024-03-14 02:52:00,110238.19876760038,110238.19876760038,0.0,0.0,110285.15557352712,-0.042577630400531565,2024-03
9,2024-03-15 04:56:00,110238.19876760038,109975.14521759171,-263.05355000866984,-0.23862286661924556,110285.15557352712,-0.2810988970575768,2024-03
10,2024-03-18 01:37:00,109975.14521759171,109975.14521759171,0.0,0.0,110285.15557352712,-0.2810988970575768,2024-03
11,2024-03-18 02:55:00,109975.14521759171,110176.78973261523,201.64451502352313,0.18335462492416688,110285.15557352712,-0.09825967996177584,2024-03
12,2024-03-19 04:31:00,110176.78973261523,110176.78973261523,0.0,0.0,110285.15557352712,-0.09825967996177584,2024-03
13,2024-03-21 01:59:00,110176.78973261523,110176.78973261523,0.0,0.0,110285.15557352712,-0.09825967996177584,2024-03
14,2024-03-21 02:59:00,110176.78973261523,109768.74895220503,-408.04078041019966,-0.3703509436065996,110285.15557352712,-0.46824671791645217,2024-03
15,2024-03-21 03:07:00,109768.74895220503,109768.74895220503,0.0,0.0,110285.15557352712,-0.46824671791645217,2024-03
16,2024-03-21 04:40:00,109768.74895220503,109651.64983953132,-117.09911267370626,-0.10667800607319755,110285.15557352712,-0.5744252077274733,2024-03
17,2024-03-21 14:53:00,109651.64983953132,110258.91641750437,607.2665779730451,0.5538143556086421,110285.15557352712,-0.02379210138146067,2024-03
18,2024-03-23 15:36:00,110258.91641750437,110258.91641750437,0.0,0.0,110285.15557352712,-0.02379210138146067,2024-03
19,2024-03-28 00:02:00,110258.91641750437,110258.91641750437,0.0,0.0,110285.15557352712,-0.02379210138146067,2024-03
20,2024-03-28 01:35:00,110258.91641750437,109921.1505370584,-337.7658804459643,-0.30633883537090667,110285.15557352712,-0.3300580523060851,2024-03
21,2024-04-03 18:33:00,109921.1505370584,110203.97085232915,282.82031527074287,0.257293809143122,110285.15557352712,-0.07361346209812503,2024-04
22,2024-04-14 14:08:00,110203.97085232915,110203.97085232915,0.0,0.0,110285.15557352712,-0.07361346209812503,2024-04
23,2024-04-16 07:05:00,110203.97085232915,110879.88672171635,675.9158693872014,0.6133316832048761,110879.88672171635,0.0,2024-04
24,2024-05-04 22:47:00,110879.88672171635,110879.88672171635,0.0,0.0,110879.88672171635,0.0,2024-05
25,2024-05-05 00:05:00,110879.88672171635,110281.71297843927,-598.1737432770751,-0.5394790353442163,110879.88672171635,-0.5394790353442163,2024-05
26,2024-05-10 10:00:00,110281.71297843927,110281.71297843927,0.0,0.0,110879.88672171635,-0.5394790353442163,2024-05
27,2024-05-10 10:45:00,110281.71297843927,109856.35306489743,-425.3599135418481,-0.38570303457746297,110879.88672171635,-0.9231012829114473,2024-05
28,2024-05-13 21:40:00,109856.35306489743,109856.35306489743,0.0,0.0,110879.88672171635,-0.9231012829114473,2024-05
29,2024-05-13 22:41:00,109856.35306489743,109736.42761503329,-119.9254498641385,-0.1091656936702539,110879.88672171635,-1.031259266662932,2024-05
30,2024-05-15 12:11:00,109736.42761503329,109736.42761503329,0.0,0.0,110879.88672171635,-1.031259266662932,2024-05
31,2024-05-15 12:26:00,109736.42761503329,109175.53134595562,-560.896269077668,-0.5111304252088011,110879.88672171635,-1.5371186119970337,2024-05
32,2024-05-16 18:00:00,109175.53134595562,109175.53134595562,0.0,0.0,110879.88672171635,-1.5371186119970337,2024-05
33,2024-05-28 21:35:00,109175.53134595562,109225.7764949165,50.245148960879305,0.04602235349023618,110879.88672171635,-1.491803676667975,2024-05
34,2024-05-29 00:53:00,109225.7764949165,109225.7764949165,0.0,0.0,110879.88672171635,-1.491803676667975,2024-05
35,2024-05-29 02:49:00,109225.7764949165,108964.26901010989,-261.50748480661423,-0.23941920414617981,110879.88672171635,-1.727651216324053,2024-05
