Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period,Period_Cumulative_PnL
PNUTUSDT,Short,1.678 USDT,"116,664","-195,738.79 USDT","-19,418.30 USDT",-9.92 %,11/13/2024 14:02 UTC,11/15/2024 08:59 UTC,12.40 % 1.49 USDT,-30.74 % 2.42 USDT,2024-11-13 14:02:00,2024-11-15 08:59:00,2024-11-13 23:02:00,2024-11-15 17:59:00,2024-11-13 23:02 KST,2024-11-15 17:59 KST,19418.3,-1,-19418.3,-195738.79,195738.79,433457.37,2,-19418.3
PNUTUSDT,Short,1.972 USDT,"33,333","65,723.34 USDT","4,135 USDT",6.29 %,11/15/2024 16:30 UTC,11/15/2024 16:47 UTC,7.39 % 1.84 USDT,,2024-11-15 16:30:00,2024-11-15 16:47:00,2024-11-16 01:30:00,2024-11-16 01:47:00,2024-11-16 01:30 KST,2024-11-16 01:47 KST,4135.0,1,4135.0,65723.34,65723.34,437592.37,2,-15283.3
PNUTUSDT,Short,1.741 USDT,"33,333","58,027.16 USDT","-1,126.50 USDT",-1.94 %,11/15/2024 22:19 UTC,11/15/2024 22:27 UTC,,-1.96 % 1.78 USDT,2024-11-15 22:19:00,2024-11-15 22:27:00,2024-11-16 07:19:00,2024-11-16 07:27:00,2024-11-16 07:19 KST,2024-11-16 07:27 KST,1126.5,-1,-1126.5,58027.16,58027.16,436465.87,2,-16409.8
PNUTUSDT,Short,1.858 USDT,"44,444","-82,597.89 USDT","5,033 USDT",6.09 %,11/16/2024 08:14 UTC,11/16/2024 17:33 UTC,9.76 % 1.69 USDT,-1.99 % 1.90 USDT,2024-11-16 08:14:00,2024-11-16 17:33:00,2024-11-16 17:14:00,2024-11-17 02:33:00,2024-11-16 17:14 KST,2024-11-17 02:33 KST,5033.0,1,5033.0,-82597.89,82597.89,441498.87,2,-11376.8
PNUTUSDT,Long,1.742 USDT,"33,333","58,080.58 USDT",-538.19 USDT,-0.93 %,11/19/2024 18:17 UTC,11/19/2024 18:19 UTC,,-1.64 % 1.71 USDT,2024-11-19 18:17:00,2024-11-19 18:19:00,2024-11-20 03:17:00,2024-11-20 03:19:00,2024-11-20 03:17 KST,2024-11-20 03:19 KST,538.19,-1,-538.19,58080.58,58080.58,440960.68,2,-11914.99
PNUTUSDT,Short,1.773 USDT,"66,666","-118,214.98 USDT","7,732 USDT",6.54 %,11/19/2024 18:18 UTC,11/20/2024 00:30 UTC,6.99 % 1.66 USDT,-3.85 % 1.84 USDT,2024-11-19 18:18:00,2024-11-20 00:30:00,2024-11-20 03:18:00,2024-11-20 09:30:00,2024-11-20 03:18 KST,2024-11-20 09:30 KST,7732.0,1,7732.0,-118214.98,118214.98,448692.68,2,-4182.99
ETHUSDT,Short,"3,459.54 USDT",0.008,27.68 USDT,0.07 USDT,0.27 %,11/23/2024 15:46 UTC,11/23/2024 15:48 UTC,"0.16 % 3,453 USDT",,2024-11-23 15:46:00,2024-11-23 15:48:00,2024-11-24 00:46:00,2024-11-24 00:48:00,2024-11-24 00:46 KST,2024-11-24 00:48 KST,0.07,1,0.07,27.68,27.68,448692.75,2,-4182.92
SOLUSDT,Short,228.475 USDT,"2,536","-579,411.46 USDT","-9,722.36 USDT",-1.68 %,12/11/2024 17:57 UTC,12/12/2024 13:21 UTC,1.17 % 225.84 USDT,-2.06 % 233.28 USDT,2024-12-11 17:57:00,2024-12-12 13:21:00,2024-12-12 02:57:00,2024-12-12 22:21:00,2024-12-12 02:57 KST,2024-12-12 22:21 KST,9722.36,-1,-9722.36,-579411.46,579411.46,438970.39,2,-13905.28
LTCUSDT,Short,119.813 USDT,999,"119,693.11 USDT","-4,166.12 USDT",-3.48 %,12/12/2024 10:12 UTC,12/12/2024 18:11 UTC,0.14 % 119.65 USDT,-3.29 % 123.89 USDT,2024-12-12 10:12:00,2024-12-12 18:11:00,2024-12-12 19:12:00,2024-12-13 03:11:00,2024-12-12 19:12 KST,2024-12-13 03:11 KST,4166.12,-1,-4166.12,119693.11,119693.11,434804.27,2,-18071.4
SOLUSDT,Short,229.268 USDT,"2,468","-565,833.84 USDT",914.68 USDT,0.16 %,12/12/2024 19:29 UTC,12/12/2024 20:37 UTC,0.95 % 227.12 USDT,-0.19 % 229.71 USDT,2024-12-12 19:29:00,2024-12-12 20:37:00,2024-12-13 04:29:00,2024-12-13 05:37:00,2024-12-13 04:29 KST,2024-12-13 05:37 KST,914.68,1,914.68,-565833.84,565833.84,435718.95,2,-17156.72
