year_month,mdd
2024-01,0.0
2024-02,0.0
2024-03,-1.097018939314061
2024-04,0.0
2024-05,-3.6321159719807317
2024-06,-0.1702517665975941
2024-07,-2.5157107954622426
2024-08,-1.5277351747075336
2024-09,-6.50534022325637
2024-10,-1.5790206919684469
2024-11,-1.8236981156672252
2024-12,-4.2288342198326445
2025-01,-1.8145070097427225
2025-02,-1.091153450410225
2025-03,-2.552000071316825
2025-04,-0.7717260648471571
2025-05,-0.8792364174352539
