Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
AI16ZUSDT,Long,1.161 USDT,"1,279.2","1,485.02 USDT",111.38 USDT,7.50 %,01/21/2025 22:48 UTC,01/22/2025 11:22 UTC,8.98 % 1.27 USDT,-4.57 % 1.11 USDT
MEWUSDT,Short,0.006 USDT,"21,522,533","138,131.62 USDT","8,477 USDT",6.14 %,12/11/2024 04:27 UTC,01/21/2025 12:17 UTC,13.86 % 0.01 USDT,-11.78 % 0.01 USDT
AIXBTUSDT,Long,0.753 USDT,"124,828","60,530.35 USDT","16,727 USDT",27.63 %,01/06/2025 02:14 UTC,01/20/2025 17:01 UTC,28.00 % 0.96 USDT,-51.38 % 0.37 USDT
AI16ZUSDT,Long,1.45 USDT,"54,366.5","78,815.12 USDT","-12,828.28 USDT",-16.28 %,01/10/2025 02:54 UTC,01/20/2025 17:01 UTC,13.13 % 1.64 USDT,-48.30 % 0.75 USDT
VIRTUALUSDT,Long,3.352 USDT,"22,275","74,656.89 USDT","-8,826.77 USDT",-11.82 %,01/17/2025 15:36 UTC,01/18/2025 16:41 UTC,3.51 % 3.47 USDT,-16.32 % 2.80 USDT
VIRTUALUSDT,Short,3.454 USDT,620.6,"2,143.43 USDT",45.74 USDT,2.13 %,01/17/2025 15:25 UTC,01/17/2025 15:36 UTC,2.12 % 3.38 USDT,
VIRTUALUSDT,Long,3.422 USDT,"1,082.7","3,771.59 USDT",-18.55 USDT,-0.49 %,01/17/2025 12:17 UTC,01/17/2025 15:25 UTC,2.41 % 3.50 USDT,-1.97 % 3.35 USDT
VIRTUALUSDT,Short,3.501 USDT,965,"3,378.18 USDT",13.16 USDT,0.39 %,01/17/2025 03:02 UTC,01/17/2025 12:17 UTC,2.16 % 3.43 USDT,-1.67 % 3.56 USDT
VIRTUALUSDT,Long,3.441 USDT,"6,260.3","21,539.81 USDT",346.10 USDT,1.61 %,01/17/2025 01:48 UTC,01/17/2025 03:02 UTC,2.66 % 3.53 USDT,-0.75 % 3.42 USDT
VIRTUALUSDT,Short,3.469 USDT,"1,924","6,674.36 USDT",28.84 USDT,0.43 %,01/17/2025 01:43 UTC,01/17/2025 01:48 UTC,,-0.15 % 3.47 USDT
VIRTUALUSDT,Long,3.358 USDT,222.5,747.07 USDT,21.49 USDT,2.88 %,01/16/2025 23:54 UTC,01/17/2025 01:43 UTC,3.19 % 3.46 USDT,-0.52 % 3.34 USDT
VIRTUALUSDT,Short,3.38 USDT,155.2,524.59 USDT,2.69 USDT,0.51 %,01/16/2025 23:27 UTC,01/16/2025 23:54 UTC,0.63 % 3.36 USDT,-0.05 % 3.38 USDT
VIRTUALUSDT,Long,3.435 USDT,"7,109","24,694.53 USDT",-374.06 USDT,-1.51 %,01/16/2025 18:51 UTC,01/16/2025 23:27 UTC,3.76 % 3.56 USDT,-0.93 % 3.40 USDT
VIRTUALUSDT,Short,3.612 USDT,"24,816.2","67,624.15 USDT","-17,031.38 USDT",-25.19 %,01/09/2025 20:57 UTC,01/16/2025 18:51 UTC,61.31 % 2.24 USDT,-9.09 % 3.97 USDT
BNBUSDT,Long,695.66 USDT,"1,016.679","707,740.75 USDT","7,263 USDT",1.03 %,01/07/2025 19:23 UTC,01/16/2025 17:11 UTC,1.62 % 706.92 USDT,-5.54 % 657.09 USDT
AI16ZUSDT,Short,1.941 USDT,"15,572.7","30,225.05 USDT","4,900 USDT",16.21 %,01/06/2025 11:22 UTC,01/10/2025 02:54 UTC,51.37 % 1.28 USDT,-14.98 % 2.28 USDT
VIRTUALUSDT,Long,3.119 USDT,"5,051.4","15,754.31 USDT",42.65 USDT,0.27 %,01/09/2025 19:25 UTC,01/09/2025 20:57 UTC,0.47 % 3.13 USDT,-0.73 % 3.10 USDT
VIRTUALUSDT,Short,3.45 USDT,"23,560.6","95,418.07 USDT","22,397 USDT",23.47 %,01/03/2025 13:41 UTC,01/09/2025 19:25 UTC,11.18 % 3.10 USDT,-24.07 % 4.54 USDT
BNBUSDT,Short,673.05 USDT,"1,321.469","845,053.00 USDT","-90,593.91 USDT",-10.72 %,11/14/2024 03:46 UTC,01/07/2025 19:23 UTC,12.14 % 600.17 USDT,-15.14 % 793.11 USDT
AI16ZUSDT,Long,1.995 USDT,728.8,"1,454.17 USDT",-47.30 USDT,-3.25 %,01/06/2025 07:05 UTC,01/06/2025 11:22 UTC,3.79 % 2.07 USDT,-5.28 % 1.89 USDT
AI16ZUSDT,Short,1.856 USDT,"4,106.7","7,621.21 USDT",-519.05 USDT,-6.81 %,01/06/2025 02:13 UTC,01/06/2025 07:05 UTC,,-8.99 % 2.04 USDT
AIXBTUSDT,Short,0.492 USDT,"2,314","1,139.46 USDT",-11.75 USDT,-1.03 %,01/06/2025 00:22 UTC,01/06/2025 02:14 UTC,1.95 % 0.48 USDT,-0.84 % 0.50 USDT
AI16ZUSDT,Long,1.831 USDT,893.3,"1,635.63 USDT",19.86 USDT,1.21 %,01/05/2025 15:58 UTC,01/06/2025 02:13 UTC,1.69 % 1.86 USDT,-4.37 % 1.75 USDT
AIXBTUSDT,Long,0.491 USDT,"37,380","18,371.15 USDT",-0.48 USDT,0.00 %,01/05/2025 18:41 UTC,01/06/2025 00:22 UTC,1.99 % 0.50 USDT,-0.86 % 0.49 USDT
VIRTUALUSDT,Long,4.243 USDT,891.7,"3,783.22 USDT",4.34 USDT,0.11 %,01/03/2025 06:08 UTC,01/03/2025 13:41 UTC,0.27 % 4.25 USDT,-3.08 % 4.11 USDT
VIRTUALUSDT,Short,4.32 USDT,182.7,789.21 USDT,8.84 USDT,1.12 %,01/03/2025 04:55 UTC,01/03/2025 06:08 UTC,1.07 % 4.27 USDT,-0.69 % 4.35 USDT
