liquidity_status,~1만,1만~5만,5만~10만,10만~50만,50만~100만,100만 이상
low,11.647361647361647,34.16988416988417,25.225225225225223,26.962676962676962,1.673101673101673,0.32175032175032175
normal,5.320108205590622,20.198376916140667,20.198376916140667,44.36429215509468,7.664562669071236,2.254283137962128
unknown,7.547169811320755,26.41509433962264,18.867924528301888,39.62264150943396,7.547169811320755,0.0
