,거래 횟수,총 거래량(USDT),평균 포지션 크기(USDT),최대 포지션 크기(USDT),총 수익(USDT),평균 수익률(%),승률(%),ROI(%)
low,1554,147328381.48000002,94805.9082882883,1400149.52,1798440.11,1.0786743886743888,43.371943371943374,1.2207017357644292
normal,1109,234754462.90000004,211681.2109107304,4999982.07,1609672.01,1.050892696122633,43.55275022542832,0.6856832411683194
unknown,53,8017813.62,151279.50226415094,900276.45,-34003.820000000014,0.6233962264150946,43.39622641509434,-0.42410339790362966
